dimension,k,r,model_volume,euclidean_volume_same_dim,ratio_to_euclidean
2,1.0,2.222151898734177,10.092458514378782,15.513055909915261,0.6505783627020985
2,1.0,2.25,10.230114378725453,15.904312808798327,0.6432289468719525
3,-1.0,0.05,0.000523860771313129,0.0005235989093604357,1.0005001193623821
3,-1.0,0.07784810126582278,0.0019786053184775165,0.0019762086400159536,1.0012127659059034
3,-1.0,0.10569620253164558,0.004957208459597422,0.004946145329652589,1.002236717525971
3,-1.0,0.13354430379746834,0.010011836370220456,0.00997619260587334,1.0035728825369843
3,-1.0,0.16139240506329117,0.017701096862572013,0.01760913409628122,1.0052224468158382
3,-1.0,0.18924050632911393,0.028591772673447566,0.028387753428479216,1.0071868753363087
3,-1.0,0.2170886075949367,0.04326058011784864,0.04285483423007032,1.0094679140654246
3,-1.0,0.24493670886075952,0.062295958565239375,0.06155316012865758,1.0120675922248217
3,-1.0,0.2727848101265823,0.08629989629093902,0.08502551475184392,1.014988224920655
3,-1.0,0.30063291139240506,0.11588979836803409,0.1138146817272324,1.0182324161462306
3,-1.0,0.3284810126582279,0.15170040239563914,0.14846344468242603,1.0218030621621181
3,-1.0,0.35632911392405064,0.19438574800776537,0.18951458724502776,1.025703355259084
3,-1.0,0.3841772151898734,0.24462120627393258,0.2375108930426406,1.0299367879098307
3,-1.0,0.41202531645569623,0.303105575288493,0.29299514570286767,1.0345071573161098
3,-1.0,0.439873417721519,0.3705632484510133,0.35651012885331174,1.0394185703584422
3,-1.0,0.4677215189873418,0.447746462165613,0.4285986261215761,1.0446754489563048
3,-1.0,0.4955696202531646,0.5354376299335797,0.5098034211352634,1.050282535847312
3,-1.0,0.5234177215189874,0.6344517700816563,0.6006672975219769,1.0562449007945922
3,-1.0,0.5512658227848102,0.7456390346589271,0.7017330389093198,1.0625679472322536
3,-1.0,0.579113924050633,0.8698873473491481,0.8135434289248948,1.0692574193595445
3,-1.0,0.6069620253164558,1.0081251585836284,0.936641251196305,1.0763194096950375
3,-1.0,0.6348101265822785,1.161324326403423,1.0715692893511526,1.0837603671029226
3,-1.0,0.6626582278481014,1.3305031320097886,1.218870327017042,1.0915871053042592
3,-1.0,0.6905063291139242,1.5167294393597635,1.3790871478215756,1.099806811886841
3,-1.0,0.7183544303797469,1.7211240086107034,1.5527625353923558,1.1084270578281343
3,-1.0,0.7462025316455697,1.9448639736949627,1.740439273356987,1.1174558075466077
3,-1.0,0.7740506329113925,2.1891864948151913,1.9426601453430707,1.1269014294976358
3,-1.0,0.8018987341772154,2.4553925971934754,2.1599679349782113,1.136772707331067
3,-1.0,0.8297468354430381,2.744851207985478,2.3929054258900098,1.1470788516284827
3,-1.0,0.8575949367088609,3.059003403885602,2.6420154017060717,1.157829512239127
3,-1.0,0.8854430379746837,3.399366882602946,2.9078406460539985,1.1690347912345056
3,-1.0,0.9132911392405064,3.7675406720824967,3.190923942561392,1.1807052565026817
3,-1.0,0.9411392405063292,4.165210092083658,3.491808074855858,1.1928519560043682
